userId,Movie_id,Movie_Title,Released_Year,Duration,Genre,Rating,Votes,Director,Actor 1,Actor 2,Actor 3,
7309,7309,Chakma,-1984,,Comedy,,,N.N. Shukla,Shashi Kapoor,Vinod Mehra,Sulakshana Pandit,
7312,7312,Chakori,-1949,,Romance,,,Ram Narayan Dave,Bharat Bhushan,Cuckoo,Nalini Jaywant,
7314,7314,Chakra,-1981,140 min,Action,6.8,141,Rabindra Dharmaraj,Savita Bajaj,Arun Bakshi,Suresh Bhagwat,
7317,7317,Chakra the Invincible,-2013,,Action,6.4,19,Vikramaditya Motwane,,,,
7319,7319,Chakradhaar,-2012,120 min,Action,4.2,28,Dharam Prakash,Shakur Sir,Abishek Anand,Zakir Hussain,
7320,7320,Chakradhari,-1954,,"Drama, Fantasy",,,Raman B. Desai,Nirupa Roy,Trilok Kapoor,Shahu Modak,
7322,7322,Chakravarty Vikramaditya,-1964,,Fantasy,,,Anjali Devi,S.V. Ranga Rao,N.T. Rama Rao,,
7324,7324,Chakravyuh,-2012,152 min,"Action, Drama, Thriller",6.8,"3,089",Prakash Jha,Arjun Rampal,Abhay Deol,Manoj Bajpayee,
7328,7328,Chakravyuh,-1996,,Drama,,,Mazahir Rahim,Jaya Bhattacharya,Rashmi Gulati,Sudhanshu Mohan,
7329,7329,Chakravyuha,-1978,130 min,"Action, Mystery, Thriller",6.4,40,Basu Chatterjee,Rajesh Khanna,Neetu Singh,Vinod Mehra,
7335,7335,Chal Baaz,-1958,,Action,6,8,Nanabhai Bhatt,Nirupa Roy,Paidi Jairaj,Nishi,
7341,7341,Chal Bhaag,-2014,111 min,Comedy,3.8,101,Prakash Saini,Deepak Dobriyal,Taran Bajaj,Keeya Khanna,
7345,7345,Chal Chal Re Navjavan,-1944,122 min,,,,Gyan Mukherjee,Naseem Banu,Rafiq Ghaznavi,Ashok Kumar,
7347,7347,Chal Chala Chal,-2009,138 min,"Action, Comedy, Crime",4.6,292,Rajeev Kumar,Asrani,Asif Basra,Kaluram Dhobale,
7348,7348,Chal Chalein,-2009,,Drama,6.3,26,Ujjwal Singh,Javed Abedi,Anand Abhyankar,Adityansh,
7350,7350,Chal Doctor Doctor Khelein,,,Comedy,,,Saurabh Malik,Sonel Singh,Saurabh Malik,Heera Pulkit,
7352,7352,Chal Guru Ho Jaa Shuru,-2015,127 min,Comedy,4.9,45,Manoj Sharma,Pawan Kumar Sharma,Vrajesh Hirjee,Brijendra Kala,
7355,7355,Chal Jaa Bapu,-2018,130 min,"Comedy, Drama, Family",,,Dedipya Joshii,Hrishitaa Bhatt,Radha Bhatt,Dev Chauhan,
7359,7359,Chal Kanvariya Shiv Ke Dham,-1996,,Drama,,,Shantilal Soni,Beena Bannerjee,Kavita Lad,Sanjay Mitra,
7361,7361,Chal Mere Bhai,-2000,136 min,"Comedy, Romance",4.7,"3,128",David Dhawan,Sanjay Dutt,Salman Khan,Karisma Kapoor,
7362,7362,Chal Pichchur Banate Hain,-2012,115 min,"Comedy, Drama",6.1,47,Pritish Chakraborty,Sonam Arora,Sagar Bhangade,Mukesh S. Bhatt,
7363,7363,Chala Murari Hero Banne,-1977,128 min,"Comedy, Musical, Romance",7,66,Asrani,Asrani,Bindiya Goswami,Satyendra Kapoor,
7364,7364,Chala Mussaddi - Office Office,-2011,60 min,"Comedy, Drama",6.1,346,Rajiv Mehra,Deven Bhojani,Makrand Deshpande,Vinay Jain,
7365,7365,Chalaak,-1973,,"Action, Crime, Drama",5.6,7,R.K. Bannerjee,T.N. Sharma,Kiran Kumar,Alka,
7366,7366,Chalak,-2005,94 min,Action,,,Raj N. Sippy,Divya Diwedi,Diveyaa Dwivedi,Rinku Ghosh,
7377,7377,Chalak Chor,-1936,,,,,Raja Sandow P.K.,Noor Mohammad Charlie,,,
7380,7380,Chalbaaz,-1969,,Action,5.6,5,Mumtaz Begum,Habib,Shyam Kumar,Vijay Kumar,
7383,7383,Chale Chalo: The Lunacy of Film Making,-2003,150 min,Documentary,8.6,336,Satyajit Bhatkal,Ashutosh Gowariker,Aamir Khan,Gracy Singh,
7385,7385,Chale Hain Sasural,-1966,,,,,Dharam Kumar,Master Bhagwan,Chandrashekhar,Helen,
7387,7387,Chalees Chor,-1976,,Action,,,Jayabharati,Jyothi Lakshmi,Prem Nazir,Sukumaran,
7391,7391,Chalis Baba Ek Chor,-1953,,"Comedy, Drama, Family",,,P.L. Santoshi,David Abraham,Smriti Biswas,Chanda,
7392,7392,Chalis Karod,-1946,,Drama,,,Nanabhai Bhatt,Nirmala Devi,Arun,Shanta Rin,
7397,7397,Chalk N Duster,-2016,130 min,Drama,6.5,676,Jayant Gilatar,Richa Chadha,Shabana Azmi,Arya Babbar,
7402,7402,Chall,-1996,,,,,Jackie Shroff,,,,
7403,7403,Challenge,-1937,,,,,Balwant Bhatt,Lallo Bhai,Lalita Pawar,,
7407,7407,Challenge,-1964,,Action,,,Chitra,Jugnu,Rajan Kapoor,Khurshid,
7409,7409,Challo Driver,-2012,95 min,Comedy,5.9,185,Vickrant Mahajan,Vickrant Mahajan,Kainaz Motivala,Prem Chopra,
7411,7411,Chalo Dilli,-2011,155 min,"Comedy, Drama",6.8,"3,081",Shashant Shah,Vinay Pathak,Lara Dutta,Yana Gupta,
7414,7414,Chalo Hamara Des,-2008,98 min,"Documentary, Music",,,Shabnam Virmani,,,,
7415,7415,Chalo Ishq Ladaaye,-2002,140 min,"Action, Comedy, Romance",4.4,522,Aziz Sejawal,Govinda,Kader Khan,Rani Mukerji,
7416,7416,Chalo Sipahi Chalo,-1968,,Action,,,,,,,
7418,7418,Chaloo Movie,-2011,,Comedy,4.1,44,Vinod Pande,Rajpal Yadav,Shekhar Suman,Sayali Bhagat,
7422,7422,Chalta Hai Yaar,-2005,,Comedy,6.3,7,Mahesh Tillekar,Raghuvir Yadav,Himani Shivpuri,Sanjay Narvekar,
7427,7427,Chalta Purza,-1934,,,,,R.N. Vaidya,Dulari,Laxmi,Vimala Vasishta,
7428,7428,Chalta Purza,-1977,150 min,"Action, Thriller",6,39,Bhappi Sonie,Rajesh Khanna,Parveen Babi,Rakesh Roshan,
7431,7431,Chalta Purza,-1958,,Fantasy,,,Atul Chitra,Kamran,Shashikala,,
7435,7435,Chalte Chalte,-2003,167 min,"Drama, Romance",6.6,"14,779",Aziz Mirza,Shah Rukh Khan,Rani Mukerji,Jas Arora,
7436,7436,Chalte Chalte,-1976,100 min,"Romance, Thriller",5.7,54,Sunder Dar,Simi Garewal,Bhisham Kohli,Nazneen,
7438,7438,Chalte Chalte,-1947,,Drama,,,S.K. Malik,Sudha,Patanjal,Latika,
7439,7439,Chalti Duniya,-1940,,,7.1,8,Gunjal,B. Marzban,Rafiq Ghaznavi,,
7443,7443,Chalti Ka Naam Gaadi,-1958,173 min,"Comedy, Musical, Romance",8,"1,514",Satyen Bose,Ashok Kumar,Madhubala,Anoop Kumar,
7448,7448,Chalti Ka Naam Zindagi,-1982,,Drama,6.3,11,Kishore Kumar,Rita Bhaduri,Master Bhagwan,Harindranath Chattopadhyay,
7450,7450,Chalu Aunty,-2002,,Thriller,,,Sarigama Viji,,,,
7452,7452,Chamak Chandni,-1957,,Action,,,Chandrashekhar,Helen,Mahipal,Purnima,
7454,7454,Chamakti Bijli,-1946,,,,,Homi Master,Eddie Billimoria,Ruby Mayer,,
