userId,Movie_id,Movie_Title,Released_Year,Duration,Genre,,
810,810,Aladin,-2009,132 min,"Action, Adventure, Comedy",,
811,811,Alag Alag,-1985,174 min,"Family, Musical, Romance",,
812,812,Alag: He Is Different.... He Is Alone...,-2006,123 min,"Action, Drama, Fantasy",,
813,813,Alajh Palajh,-2019,136 min,Comedy,,
818,818,Alam Ara,-1973,124 min,Drama,,
820,820,Alavuddinum Athbutha Vilakkum,-1979,144 min,"Adventure, Drama, Fantasy",,
821,821,Albela,-2001,145 min,"Comedy, Drama, Romance",,
822,822,Albela,-1951,158 min,"Comedy, Drama, Musical",,
831,831,Albert Pinto Ko Gussa Kyon Ata Hai,-1980,110 min,"Comedy, Drama, Romance",,
832,832,Albert Pinto Ko Gussa Kyun Aata Hai?,-2019,100 min,Drama,,
834,834,Alex's Strip,-2019,109 min,Drama,,
837,837,Ali Baba and 40 Thieves,-1966,154 min,"Adventure, Fantasy, Romance",,
842,842,Alibaba and 40 Thieves,-1954,145 min,"Action, Adventure, Drama",,
846,846,Alibaba Marjinaa,-1977,163 min,"Action, Adventure",,
850,850,Alif,-2017,120 min,Drama,,
852,852,Alif-Laila,-1953,135 min,Fantasy,,
853,853,Aligarh,-2015,114 min,"Biography, Drama",,
861,861,All Is Well,-2015,126 min,"Comedy, Drama, Romance",,
862,862,All Ladies Do It,-2020,97 min,Thriller,,
863,863,All Rounder,-1984,128 min,"Action, Drama",,
864,864,All the Best: Fun Begins,-2009,144 min,"Action, Comedy, Drama",,
872,872,Allah Ke Banday,-2010,123 min,"Action, Crime, Drama",,
873,873,Allah Meharban To Gadha Pehalwan,-1997,149 min,Comedy,,
874,874,Allah-Rakha,-1986,160 min,"Action, Drama",,
876,876,Alone,-2015,133 min,Horror,,
879,879,Always Kabhi Kabhi,-2011,126 min,"Comedy, Crime, Drama",,
883,883,Amaanat,-1994,140 min,"Action, Drama",,
885,885,Aman,-1967,152 min,"Adventure, Drama, Romance",,
886,886,Aman Ke Farishtey,-2016,137 min,Action,,
889,889,Amanush,-1975,153 min,"Drama, Family",,
890,890,Amar,-1954,149 min,"Drama, Musical, Romance",,
891,891,Amar Deep,-1958,148 min,"Musical, Romance",,
894,894,Amar Jyoti,-1936,166 min,Drama,,
903,903,Amar Prem,-1972,143 min,"Drama, Musical, Romance",,
904,904,Amar Prem,-2020,143 min,Drama,,
906,906,Amar Rahe Ye Pyar,-1961,121 min,Drama,,
913,913,Amar Shakti,-1978,133 min,"Action, Adventure, Comedy",,
917,917,"Amar, Akbar and Anthony",-1977,184 min,"Action, Comedy, Drama",,
920,920,Amavas,-2019,134 min,"Horror, Thriller",,
923,923,Amba,-1990,153 min,Family,,
928,928,Amber,-1952,141 min,"Action, Adventure, Drama",,
930,930,Amdavad Junction,-2013,95 min,Mystery,,
935,935,American Desi,-2001,100 min,"Comedy, Drama, Romance",,
936,936,Amir Garib,-1974,140 min,"Action, Thriller",,
938,938,Amiri Garibi,-1990,155 min,Family,,
940,940,Amit Sahni Ki List,-2014,110 min,"Comedy, Romance",,
942,942,Amma,-1986,135 min,Drama,,
943,943,Amma Nagamma,-2001,110 min,"Drama, Fantasy, Thriller",,
944,944,Ammaa Ki Boli,-2021,117 min,"Comedy, Drama",,
950,950,Amrapali,-1966,119 min,"Musical, Fantasy",,
952,952,Amrit,-1986,137 min,"Drama, Family",,
959,959,Amu,-2005,102 min,Drama,,
964,964,An Evening in Paris,-1967,168 min,"Musical, Romance, Thriller",,
967,967,An Insignificant Man,-2016,96 min,"Documentary, Thriller",,
976,976,Anaarkali of Aarah,-2017,113 min,Drama,,
979,979,Anamika,-1973,125 min,"Mystery, Romance, Musical",,
981,981,Anand,-1971,122 min,"Drama, Musical",,
986,986,Anand Math,-1952,176 min,"Biography, Drama, History",,
987,987,Ananda Ashram,-1977,127 min,"Drama, Family",,
993,993,Anari,-1959,166 min,"Comedy, Drama, Musical",,
994,994,Anari,-1993,171 min,"Comedy, Drama, Romance",,
995,995,Anari,-1975,144 min,"Drama, Romance",,
996,996,Anari No. 1,-1999,169 min,Comedy,,
998,998,Anarkali,-1953,175 min,"History, Musical, Romance",,
1000,1000,Anatomy of Violence,-2016,93 min,"Crime, Drama",,
1004,1004,Andaaz,-2003,145 min,"Drama, Musical, Romance",,
1006,1006,Andaz,-1949,148 min,"Musical, Drama, Crime",,
1007,1007,Andaz,-1971,166 min,"Drama, Romance",,
1008,1008,Andaz,-1994,167 min,"Action, Comedy, Drama",,
1009,1009,Andaz Apna Apna,-1994,160 min,"Action, Comedy, Romance",,
1013,1013,Andha Bichar,-1990,148 min,"Action, Drama",,
1015,1015,Andha Oru Nimidam,-1985,144 min,"Action, Crime, Drama",,
1017,1017,Andhaa Kaanoon,-1983,155 min,"Action, Drama",,
1019,1019,Andhadhun,-2018,139 min,"Crime, Drama, Music",,
